Website Domain,Ticker,Technology Name,Technology ID,First Seen At,Last Seen At,Behind Firewall
wipro.com,NYSE:WIT,Equinix,7dd8ac42-99b3-5bf8-bd33-c69d458ea775,2024-07-28T07:18:18Z,2024-07-28T07:18:18Z,TRUE
sony.com,NYSE:SNE,React Native,850ac9a4-1db0-40d5-a6cd-d75cbcb70015,2024-08-27T03:12:25Z,2024-08-27T03:12:25Z,TRUE
sony.com,NYSE:SNE,reCAPTCHA,c8d6ddd0-d6ac-5b22-b3ae-43f151366d44,2024-06-09T03:40:41Z,2024-08-09T03:46:56Z,FALSE
wipro.com,NYSE:WIT,D3.js,9b74ff79-38e7-5ab7-b183-ada5f90ad920,2024-07-09T07:24:22Z,2024-07-09T07:24:22Z,TRUE
grab.com,,Marketo,22773586-a000-5748-aa7b-7bf7ff718c32,2024-08-08T11:26:42Z,2024-08-08T11:26:42Z,TRUE
grab.com,,DBT,52b115cf-3aeb-51ed-93b7-59789e78b629,2024-09-04T14:53:39Z,2024-09-04T14:53:39Z,TRUE
naver.com,,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-08-01T15:37:19Z,2024-08-04T22:26:13Z,FALSE
wipro.com,NYSE:WIT,Oracle Service Cloud,9378cc45-2247-5e44-82e6-5f14e51e4c24,2024-07-31T07:15:10Z,2024-07-31T07:15:10Z,TRUE
infosys.com,NYSE:INFY,Salsify,071094e8-48e0-5c13-a661-106b3a4bc72c,2024-08-28T19:32:43Z,2024-09-05T19:18:00Z,TRUE
lg.com,,Adobe XD,4f627307-1264-4090-ad0d-cae94459b761,2024-08-23T04:22:49Z,2024-08-23T04:22:49Z,TRUE
infosys.com,NYSE:INFY,Azure SQL,28ae2455-2a88-46d0-a7fa-faeddd84e4ae,2024-08-22T17:30:59Z,2024-09-05T19:18:08Z,TRUE
tencent.com,NASDAQOTH:TCEHY,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-19T04:57:36Z,2024-08-18T05:26:44Z,FALSE
samsung.com,NASDAQOTH:SSNLF,Google My Business,dcb44442-8278-531c-8f61-856c0a02bf46,2024-07-04T03:53:42Z,2024-07-04T03:53:42Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Microsoft Intune,d8cc12c9-ae34-4281-baf2-cf2e60890f9a,2024-06-14T16:57:26Z,2024-06-14T16:57:26Z,TRUE
wipro.com,NYSE:WIT,ArubaOS,1b793152-d20b-45a7-af1e-af69326ef0ac,2024-07-05T16:28:05Z,2024-07-05T16:28:05Z,TRUE
infosys.com,NYSE:INFY,HTTP/3,80bd7a42-b073-57b4-83d4-75644ee0c6d2,2024-09-02T09:29:30Z,2024-09-03T16:47:22Z,FALSE
wipro.com,NYSE:WIT,Puppet,31845330-7730-5aa4-abe2-c1d3436f5688,2024-07-05T16:28:05Z,2024-07-05T16:28:05Z,TRUE
infosys.com,NYSE:INFY,Stripe,27f13e2f-f09e-5594-bb47-eecb703ce3f9,2024-09-02T19:20:44Z,2024-09-02T19:20:44Z,TRUE
lg.com,,Criteo,70cb5e24-ad38-5096-880c-02e1c54b7483,2024-06-07T15:51:14Z,2024-08-29T09:10:34Z,TRUE
huawei.com,,Adobe Illustrator,1155d5c6-31ab-4843-adc1-a312ba0301e4,2024-08-27T05:34:51Z,2024-08-27T05:34:51Z,TRUE
wipro.com,NYSE:WIT,Windows 7,5ae220cf-4b72-46cc-9d34-296105d6e403,2024-08-26T13:09:18Z,2024-08-26T13:09:18Z,TRUE
lg.com,,SAP Business Objects,f9e11089-0fe3-45bd-83f7-084118c3798a,2024-08-21T13:56:47Z,2024-09-04T06:43:41Z,TRUE
rakuten.com,,MobX,e8064615-3ee7-5110-a7cc-f04b32591a6c,2024-06-23T09:50:03Z,2024-07-14T18:02:34Z,TRUE
wipro.com,NYSE:WIT,Wireshark,3f9bb75d-e6f7-43d9-8ae7-b7ed9fbb6b43,2024-09-03T19:41:23Z,2024-09-03T19:41:23Z,TRUE
rakuten.com,,SAP Fiori,71c73d54-cfd1-4538-b1a2-3a496ef842d3,2024-06-16T09:45:52Z,2024-06-16T09:45:52Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Salesforce Marketing Cloud Account Engagement,26a1a802-94cf-573a-9fe4-6438dd782daa,2024-09-02T10:12:27Z,2024-09-02T10:12:27Z,FALSE
infosys.com,NYSE:INFY,Visual Studio Code,389a1d23-db26-47bb-a2ee-9b65f48dfc13,2024-09-02T19:20:44Z,2024-09-02T19:20:44Z,TRUE
grab.com,,Hootsuite,d5521ba2-b119-52fb-b131-fe0624635617,2024-08-23T12:54:48Z,2024-08-23T12:54:48Z,TRUE
huawei.com,,Boomerang,5f8b9b09-59f9-512f-a000-f40ffa192300,2024-07-28T11:25:07Z,2024-08-22T11:58:19Z,FALSE
tcs.com,NSE:TCS,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-08-15T19:16:16Z,2024-08-31T13:52:26Z,FALSE
infosys.com,NYSE:INFY,SAP S/4HANA Finance,2e9988a6-26e6-4d7b-8bef-bc7946a8f847,2024-08-24T05:54:47Z,2024-08-26T20:28:25Z,TRUE
sony.com,NYSE:SNE,SAP GRC,674cd338-1eb5-41a7-b773-de2c276ec0e5,2024-08-26T17:49:34Z,2024-08-26T17:49:34Z,TRUE
rakuten.com,,Qualtrics,f4cb1b99-53c2-5cf4-8801-4608a37727ac,2024-07-06T04:31:29Z,2024-07-06T04:31:29Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Dynatrace,50e269c7-fc3e-5f63-b1d5-756726f52bb1,2024-09-02T10:03:29Z,2024-09-02T10:03:35Z,FALSE
infosys.com,NYSE:INFY,MuleSoft,01d87d95-049d-49a0-a96c-4a7c9fd3a19e,2024-09-04T19:16:31Z,2024-09-04T19:16:31Z,TRUE
infosys.com,NYSE:INFY,IBM i,2f2d05b9-b313-5fbe-a6c6-790905b83432,2024-08-30T08:59:15Z,2024-08-30T08:59:15Z,TRUE
wipro.com,NYSE:WIT,Recognize,1cb4bc6e-eeb4-42e2-94f3-da5a48613e49,2024-09-02T10:08:34Z,2024-09-02T19:56:57Z,TRUE
rakuten.com,,RabbitMQ,ee0ddbe3-c017-40f5-a97a-8bc22af0a199,2024-09-06T02:36:39Z,2024-09-06T02:36:39Z,TRUE
infosys.com,NYSE:INFY,Contentsquare,2db115c4-bde5-5017-9d87-82b7e06e8c58,2024-08-29T11:32:05Z,2024-08-29T21:56:46Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Perforce,95a27c71-948a-4d3e-a0fe-c5c3a3125a03,2024-08-25T02:41:15Z,2024-08-25T02:41:15Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Spring Framework,a3ccd262-f686-423c-9dea-9b6336cafd6c,2024-08-25T01:55:15Z,2024-08-25T01:55:15Z,TRUE
sony.com,NYSE:SNE,IFTTT,b30cdb78-1d1f-5c00-b251-18cf1e92557f,2024-06-12T02:22:41Z,2024-06-12T02:22:41Z,TRUE
baidu.com,NASDAQ:BIDU,VMware ESXi,69c63875-69a1-4444-87a4-0579f4f91938,2024-09-03T03:49:37Z,2024-09-03T03:49:37Z,TRUE
grab.com,,Trello,65288bfe-076c-51fd-9fbd-0d681160039d,2024-06-06T09:04:25Z,2024-06-06T09:04:25Z,TRUE
lg.com,,Choices,4a3ba046-2ecc-5a59-a6cf-d0f25e9138ae,2024-08-04T21:50:31Z,2024-08-04T21:50:31Z,FALSE
infosys.com,NYSE:INFY,Veeva Systems CRM,d27f392a-6afa-57e8-b652-972bc9378a9f,2024-06-07T13:22:55Z,2024-09-06T07:24:04Z,TRUE
sony.com,NYSE:SNE,Adobe Acrobat DC,c51c03ce-c220-5acd-ace5-41e40b730f38,2024-09-05T16:06:11Z,2024-09-05T16:06:11Z,TRUE
lg.com,,CJ Affiliate,ab00adac-3907-5998-8e58-f4e2d7c1a106,2024-06-07T15:51:14Z,2024-08-29T09:10:34Z,TRUE
baidu.com,NASDAQ:BIDU,Amazon Mechanical Turk,bbccf210-ea3d-4369-a9f7-4e7ae8f08c73,2024-09-02T19:45:55Z,2024-09-03T02:48:25Z,TRUE
infosys.com,NYSE:INFY,IQVIA,1010f70f-5097-44dd-b2d9-0fc5da07543d,2024-06-07T14:20:21Z,2024-08-15T03:53:07Z,TRUE
wipro.com,NYSE:WIT,HTML,02f48508-e6e7-4a38-a79d-f7775b8fe7d7,2024-09-02T09:27:49Z,2024-09-06T08:06:58Z,TRUE
rakuten.com,,LastPass,c16cafb5-9e28-4b44-9274-67fede6e9808,2024-09-02T23:38:21Z,2024-09-02T23:38:21Z,TRUE
sony.com,NYSE:SNE,Demandware,0c241fa8-8bab-52a9-b1ea-f3fbcb38b4bb,2024-06-16T02:42:10Z,2024-06-16T02:42:10Z,TRUE
sony.com,NYSE:SNE,Microsoft Intune,d8cc12c9-ae34-4281-baf2-cf2e60890f9a,2024-06-14T12:12:50Z,2024-08-21T13:41:10Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Okta,341d6870-5d23-5bc8-a03e-b23af31fa159,2024-08-09T23:55:41Z,2024-08-09T23:55:41Z,TRUE
samsung.com,NASDAQOTH:SSNLF,LiveOps,065c382c-35a2-5502-b2d0-df68990ad35a,2024-06-07T21:02:51Z,2024-06-10T22:49:43Z,TRUE
grab.com,,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-16T22:26:18Z,2024-08-25T22:57:05Z,FALSE
lg.com,,Crestron,c60ab264-667a-473e-b25d-4fbb8dce61c5,2024-09-05T18:57:49Z,2024-09-05T18:57:49Z,TRUE
wipro.com,NYSE:WIT,Azure DevOps,d95e64d4-a2c5-4f75-a3ec-52b30678273a,2024-08-24T22:37:47Z,2024-09-02T15:25:46Z,TRUE
infosys.com,NYSE:INFY,Subversion,cb6be0eb-8384-4299-b3ac-3b59e0513fda,2024-09-03T05:29:50Z,2024-09-03T05:29:50Z,TRUE
sony.com,NYSE:SNE,Workspace One,875e41d5-0d63-42ab-966d-78c4d74c2775,2024-06-14T17:21:17Z,2024-06-15T01:39:51Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Adobe Acrobat DC,c51c03ce-c220-5acd-ace5-41e40b730f38,2024-07-12T05:41:12Z,2024-07-12T05:41:12Z,TRUE
lg.com,,Forter,da1439e4-da19-5784-97f0-68101fb74d29,2024-09-02T10:01:49Z,2024-09-02T10:11:24Z,FALSE
baidu.com,NASDAQ:BIDU,HTML,02f48508-e6e7-4a38-a79d-f7775b8fe7d7,2024-09-02T19:45:55Z,2024-09-03T05:20:29Z,TRUE
wipro.com,NYSE:WIT,Qualtrics,f4cb1b99-53c2-5cf4-8801-4608a37727ac,2024-06-10T15:49:52Z,2024-06-15T08:32:10Z,TRUE
wipro.com,NYSE:WIT,Spring Framework,a3ccd262-f686-423c-9dea-9b6336cafd6c,2024-08-28T19:39:34Z,2024-09-02T03:39:01Z,TRUE
rakuten.com,,Silver Peak,297698fa-737d-4239-abfc-79b524020a1f,2024-08-27T23:48:55Z,2024-08-27T23:48:55Z,TRUE
rakuten.com,,HTML,02f48508-e6e7-4a38-a79d-f7775b8fe7d7,2024-09-04T22:33:20Z,2024-09-05T16:38:18Z,TRUE
grab.com,,HTML,02f48508-e6e7-4a38-a79d-f7775b8fe7d7,2024-09-03T14:42:17Z,2024-09-03T14:42:17Z,TRUE
sony.com,NYSE:SNE,Prisma Access,267bae1b-97ce-4e69-b0f0-0294fc6af673,2024-08-22T07:44:44Z,2024-08-22T07:44:44Z,TRUE
infosys.com,NYSE:INFY,EMC VNX,cc6f8909-fd6b-514f-bfd2-ae47479798c2,2024-08-29T09:17:45Z,2024-08-29T09:17:45Z,TRUE
bytedance.com,,CVS,340f9e06-5b0c-582e-be81-e927d55bf463,2024-08-21T07:50:10Z,2024-08-21T07:50:10Z,TRUE
zomato.com,,Microsoft Excel,4a3ef3a2-cd9a-5fff-be2e-1a5d33813831,2024-06-30T23:54:22Z,2024-06-30T23:54:22Z,TRUE
lg.com,,TikTok Pixel,70104de7-ed57-5e7c-9b0e-5d9dc0429d63,2024-09-02T10:01:49Z,2024-09-02T10:01:49Z,FALSE
infosys.com,NYSE:INFY,Azure DevOps,d95e64d4-a2c5-4f75-a3ec-52b30678273a,2024-08-21T18:23:26Z,2024-09-06T07:23:24Z,TRUE
infosys.com,NYSE:INFY,Windows 10,3453564c-fe8f-4b90-86df-8629d954db28,2024-08-22T21:58:22Z,2024-09-02T19:21:18Z,TRUE
rakuten.com,,kintone,b17ef359-895d-5308-994a-765ea4c56593,2024-07-14T21:58:42Z,2024-07-14T21:58:42Z,TRUE
softbank.jp,,Google Font API,74a45ed1-b8b7-50ba-aa80-646d296b6425,2024-09-02T09:43:57Z,2024-09-02T09:49:57Z,FALSE
rakuten.com,,UiPath,461226aa-3d45-53b1-861e-08e1203ee689,2024-06-18T02:28:29Z,2024-06-18T02:28:29Z,TRUE
lg.com,,Snowflake,54e330db-57b6-5185-88fd-e07e4b3922f7,2024-06-28T18:33:29Z,2024-08-29T09:11:56Z,TRUE
infosys.com,NYSE:INFY,Intershop,20179f93-e5f3-5a20-8ce1-9560eb07eaae,2024-07-31T03:57:51Z,2024-07-31T03:57:51Z,TRUE
huawei.com,,Akamai mPulse,e5a2e339-7aa4-5241-a7e2-a94d11568291,2024-07-28T11:25:07Z,2024-09-05T13:12:25Z,FALSE
grab.com,,Facebook Ads,588c9ff6-97cd-5de8-ad0e-82e9fcec8ba8,2024-08-28T13:39:25Z,2024-08-28T13:39:25Z,TRUE
lg.com,,Salesforce Commerce Cloud,250d14ac-0889-57df-ace3-8d624af5b337,2024-07-22T21:56:18Z,2024-07-24T22:06:00Z,TRUE
grab.com,,Adobe Illustrator,1155d5c6-31ab-4843-adc1-a312ba0301e4,2024-08-24T01:35:55Z,2024-08-24T01:35:55Z,TRUE
infosys.com,NYSE:INFY,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-19T03:25:01Z,2024-09-03T16:47:22Z,FALSE
samsung.com,NASDAQOTH:SSNLF,Salesforce Marketing Cloud,7d1caa84-9811-5da9-8bd6-457db84ccf2b,2024-08-06T22:14:46Z,2024-08-06T22:14:46Z,TRUE
infosys.com,NYSE:INFY,ORM Technologies,1fceba5d-8ea2-5c9d-bb57-d990262c32c0,2024-09-04T07:36:25Z,2024-09-04T07:36:25Z,TRUE
wipro.com,NYSE:WIT,Udemy,c0da7d29-3b7d-4f05-be39-094d7ee61174,2024-09-02T20:09:08Z,2024-09-04T19:29:27Z,TRUE
wipro.com,NYSE:WIT,Windows 10,3453564c-fe8f-4b90-86df-8629d954db28,2024-08-23T03:40:48Z,2024-08-29T09:19:13Z,TRUE
wipro.com,NYSE:WIT,Anomali,0468511a-ff28-5cc5-83c4-e58aedd839d0,2024-09-02T22:22:49Z,2024-09-02T22:22:49Z,TRUE
grab.com,,AWS App Mesh,f1ed228e-9de1-4992-b666-4628a50ce957,2024-09-02T14:34:20Z,2024-09-02T14:34:20Z,TRUE
rakuten.com,,RapidAPI,a7bb24e5-6a85-4e78-9ae9-d2f4570e74c2,2024-09-04T04:49:35Z,2024-09-04T04:49:35Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Constant Contact,7057d408-4fac-5e00-9b79-9e589ded3fb5,2024-08-02T22:21:58Z,2024-08-02T22:21:58Z,TRUE
zomato.com,,Pixabay,01096200-6586-5970-97e3-e3e578546c4a,2024-06-28T12:29:03Z,2024-06-28T12:29:03Z,TRUE
infosys.com,NYSE:INFY,Microsoft Intune,d8cc12c9-ae34-4281-baf2-cf2e60890f9a,2024-06-14T14:28:40Z,2024-09-02T19:21:18Z,TRUE
sony.com,NYSE:SNE,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-16T10:08:43Z,2024-09-02T10:06:31Z,FALSE
infosys.com,NYSE:INFY,Apache Hadoop,ba293c61-ad33-57b9-9671-f3319f57d789,2024-08-30T19:44:03Z,2024-08-30T19:44:03Z,TRUE
sony.com,NYSE:SNE,VTEX,7b2bc86f-8ad6-5e9a-8f4b-7a320e6d8e54,2024-06-16T02:42:10Z,2024-06-16T02:42:10Z,TRUE
wipro.com,NYSE:WIT,PROS,50d4067a-e70a-5965-ab58-5af40b7f13d1,2024-08-09T21:23:02Z,2024-08-09T21:23:02Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Document360,8d9ccae4-ed4b-407e-a38f-8e307a0835ba,2024-09-04T18:49:43Z,2024-09-04T18:49:43Z,TRUE
lg.com,,jQuery CDN,cc920028-800d-5570-94d2-e777e5bf5eb5,2024-09-02T10:10:19Z,2024-09-02T10:10:19Z,FALSE
zomato.com,,Microsoft,81a75b36-c089-5153-89c9-60c79b75e45f,2024-06-30T23:54:22Z,2024-06-30T23:54:22Z,TRUE
grab.com,,Metasploit,053c266d-7852-44a1-a629-a49d434e4526,2024-09-06T08:43:06Z,2024-09-06T08:43:06Z,TRUE
bytedance.com,,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-13T15:32:09Z,2024-08-23T18:05:08Z,FALSE
wipro.com,NYSE:WIT,Cacti,edf414fd-d03c-4b41-a4e3-45868e603afa,2024-09-03T20:17:12Z,2024-09-03T20:17:12Z,TRUE
infosys.com,NYSE:INFY,Veeva Vault,6ed8d1a9-7d67-407a-93a9-3aa698a96f9b,2024-06-08T02:19:54Z,2024-08-15T03:53:07Z,TRUE
huawei.com,,PyTorch,a0d6a9e2-4320-4cac-b2cc-932b2bd95a46,2024-09-02T11:48:11Z,2024-09-06T08:47:34Z,TRUE
grab.com,,SoapUI,66239658-17cc-537e-b101-e8ecf4dad1b3,2024-06-13T04:21:16Z,2024-06-13T04:21:16Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Prometheus,fa864372-dc1e-4db5-97e2-6b591119d6c4,2024-09-02T22:21:19Z,2024-09-05T17:59:25Z,TRUE
rakuten.com,,Zendesk Support,8366fcf5-e22d-5995-9e87-cfd8f190b630,2024-07-11T21:47:43Z,2024-07-11T21:47:43Z,TRUE
huawei.com,,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-16T11:06:06Z,2024-08-22T11:58:19Z,FALSE
wipro.com,NYSE:WIT,SailPoint,f6c2920d-3759-4784-837b-0b9a89d2d09c,2024-09-02T23:21:20Z,2024-09-05T05:59:47Z,TRUE
sony.com,NYSE:SNE,Contentful,6263c919-e26c-5f7b-9d2d-cd8256b5a944,2024-08-16T13:18:38Z,2024-08-16T13:18:38Z,TRUE
grab.com,,Sprinklr,bba44e1b-30b8-5f0f-a387-70d274e17074,2024-08-23T12:54:48Z,2024-08-23T12:54:48Z,TRUE
infosys.com,NYSE:INFY,Jasmine,f67ec053-a094-40ee-b3d8-6e064749c053,2024-09-03T06:00:12Z,2024-09-04T08:03:40Z,TRUE
rakuten.com,,SAP S/4HANA Finance,2e9988a6-26e6-4d7b-8bef-bc7946a8f847,2024-08-25T10:56:23Z,2024-09-01T11:04:39Z,TRUE
infosys.com,NYSE:INFY,ThousandEyes,ac5191d3-681e-5be6-a571-3350b974fdff,2024-08-01T20:52:25Z,2024-08-01T20:52:25Z,TRUE
grab.com,,Google Ad Manager,4ad1f3ce-f414-4ea6-bef7-b3ccecff0b51,2024-08-28T02:48:26Z,2024-08-28T02:48:26Z,TRUE
samsung.com,NASDAQOTH:SSNLF,Hugging Face,20773598-cc41-408a-a1c9-e6fc4a625979,2024-08-27T18:15:36Z,2024-08-27T18:15:36Z,TRUE
grab.com,,Mantine,3d074e5d-0eeb-5dcc-8c99-59155c9ce7da,2024-09-05T08:35:44Z,2024-09-05T08:35:44Z,FALSE
sony.com,NYSE:SNE,Palo Alto Networks,04fb9da2-c492-40f6-8c83-7617c1fcf7b6,2024-08-22T07:44:44Z,2024-08-22T07:44:44Z,TRUE
grab.com,,Jupyter,89ed4bab-7a5c-52be-9bb3-64797a3b14c8,2024-06-20T12:15:58Z,2024-06-20T12:15:58Z,TRUE
wipro.com,NYSE:WIT,Oracle Financials Cloud,a0e67203-5b34-4e00-aa05-1a90e091cb08,2024-09-04T19:43:33Z,2024-09-04T19:43:33Z,TRUE
infosys.com,NYSE:INFY,Wave,f550ebbf-25a7-4ea1-9b46-ea903fe3ed2c,2024-09-04T19:16:43Z,2024-09-04T19:16:43Z,TRUE
wipro.com,NYSE:WIT,HYPR,74024b23-3a91-555a-83c6-8e9585e9b10e,2024-08-27T19:54:32Z,2024-08-27T19:54:32Z,TRUE
grab.com,,Lessonly,9f5630ed-94cc-5003-9319-855ca3a3a730,2024-08-16T12:25:33Z,2024-09-04T14:54:09Z,TRUE
samsung.com,NASDAQOTH:SSNLF,UPS,6dc5c9bc-d377-570d-9b93-f527a564dc7f,2024-06-06T21:01:31Z,2024-08-07T21:56:17Z,FALSE
alibaba.com,,Akamai,b0526112-ddde-5dbf-b887-9b6f93557007,2024-07-31T10:31:30Z,2024-07-31T10:31:30Z,FALSE
infosys.com,NYSE:INFY,React Native,850ac9a4-1db0-40d5-a6cd-d75cbcb70015,2024-08-22T05:21:18Z,2024-09-05T07:20:53Z,TRUE
infosys.com,NYSE:INFY,MetricStream,cb5d2a5a-4564-5764-bd34-6193fb6b4cf3,2024-08-20T19:13:31Z,2024-08-20T19:13:31Z,TRUE
wipro.com,NYSE:WIT,Azure Container Registry,1cc0bf53-80ae-5d9e-9192-27497cea4d9a,2024-06-28T07:16:10Z,2024-08-22T05:26:11Z,TRUE
rakuten.com,,Hugging Face,20773598-cc41-408a-a1c9-e6fc4a625979,2024-08-21T12:00:56Z,2024-08-21T12:00:56Z,TRUE
wipro.com,NYSE:WIT,Prometheus,fa864372-dc1e-4db5-97e2-6b591119d6c4,2024-09-02T11:46:52Z,2024-09-02T11:46:52Z,TRUE
grab.com,,Sensei,bbef8685-f3c1-5de6-9d45-1ab441c25bfd,2024-07-01T05:27:22Z,2024-08-05T23:05:45Z,TRUE
lg.com,,Pinterest,d44e086d-fd29-5844-8c15-e1d1a67a138a,2024-07-03T19:47:59Z,2024-07-03T19:47:59Z,TRUE
wipro.com,NYSE:WIT,AWS Glue,7557ca6a-6143-46af-b357-e3963949fa82,2024-08-31T19:47:25Z,2024-08-31T19:47:25Z,TRUE
infosys.com,NYSE:INFY,SmartBridge,b0a5a9f4-1b73-5a58-af2a-2f6a2628c23e,2024-08-01T20:52:10Z,2024-08-01T20:52:10Z,TRUE
infosys.com,NYSE:INFY,ServiceMax,8e0a8e47-12f8-5c91-9d56-a526fda17f66,2024-08-01T20:51:49Z,2024-08-01T20:51:49Z,TRUE
infosys.com,NYSE:INFY,Spring Framework,a3ccd262-f686-423c-9dea-9b6336cafd6c,2024-08-21T18:22:39Z,2024-09-05T19:17:52Z,TRUE
lg.com,,AudioEye,9eaf8b2f-6adb-50b5-a5fd-046e9ef94f5f,2024-08-24T00:09:53Z,2024-08-25T13:46:59Z,FALSE
wipro.com,NYSE:WIT,DB2,01aa495d-f8a7-49d3-9a4f-a53980dc310b,2024-09-02T23:21:20Z,2024-09-05T09:35:39Z,TRUE
grab.com,,Emotion,9c43091c-769c-5382-99f6-6478e7226880,2024-09-05T08:35:44Z,2024-09-05T08:35:44Z,FALSE
wipro.com,NYSE:WIT,Autodesk AutoCAD Plant 3D,8ba32c5c-384c-5243-a04c-4cf17edc56ed,2024-08-29T09:16:11Z,2024-08-29T09:16:11Z,TRUE
infosys.com,NYSE:INFY,Visual Basic .NET,f980a4f9-f005-5bfd-946f-44c045f3c39d,2024-08-22T17:30:52Z,2024-08-22T17:30:52Z,TRUE
lg.com,,Omniture,b0d4bdb3-5d56-53e9-b96d-10a5da6dfaf7,2024-08-31T13:05:29Z,2024-08-31T13:05:29Z,TRUE
wipro.com,NYSE:WIT,FactSet,af24a95f-925d-5514-9ccc-13942cbe06cb,2024-07-14T07:41:01Z,2024-07-14T07:41:01Z,TRUE
sony.com,NYSE:SNE,SAP NetWeaver,f6e03f83-0af2-4957-948c-e7cd0f99041e,2024-08-24T02:45:00Z,2024-08-24T02:45:00Z,TRUE
rakuten.com,,LaunchDarkly,0f2e7a26-f484-50da-a488-20dc8af3a4fc,2024-08-20T14:07:24Z,2024-08-20T14:07:24Z,TRUE
